method,outcome,setting,mean_dz_norm,median_dz_norm,mean_dm,median_dm,mean_cos_to_preserve,median_cos_to_preserve
PatchNAS,regressed,tt100k_signs/convnext_tiny,67.68319315619028,66.4894413109864,-9.0582311419419,-9.34416384001573,-0.1032326913164443,-0.09601576262687099
PatchNAS,regressed,tt100k_signs/densenet121,84.02982933153106,81.58372039825899,-9.303743527633742,-9.563150053222975,-0.07879768171176062,-0.0779027351766728
PatchNAS,regressed,tt100k_signs/resnet50,153.29183988735008,154.27846298580573,-10.968276466872409,-9.727676520744959,-0.05439599991824338,-0.04300110583629832
PatchNAS,regressed,tt100k_signs/vgg16,1265.1684691116025,451.386369684141,-79.1240219630753,-17.522439618905384,-0.027373376044628774,-0.02502339108655945
PatchNAS,stayed_correct,gtsrb/convnext_tiny,29.661344398967387,29.577869785778194,3.7150409990131545,3.1128492752710977,0.0753953142933937,0.07715465516749213
PatchNAS,stayed_correct,gtsrb/densenet121,50.53340170009488,50.56787595669811,6.731112104530236,5.987110262115796,0.09161122919502777,0.08075932904573309
PatchNAS,stayed_correct,gtsrb/resnet50,63.477588785724286,62.674370518621764,-0.17359103454553093,-0.9490005572636923,0.011787260536271748,-0.006179588082780757
PatchNAS,stayed_correct,gtsrb/vgg16,731.9047766117804,404.7465360984864,53.191468847285535,-7.942021409670512,0.009442697197916725,-0.01853428866135289
PatchNAS,stayed_correct,lisa_signs/convnext_tiny,22.032704486937845,21.797417137299107,-1.0877198044426197,-1.9562461078166962,-0.049762827956814776,-0.07211328284591485
PatchNAS,stayed_correct,lisa_signs/densenet121,21.347733984595724,21.04754255293148,-0.719559929619931,-1.5608022256443899,-0.023775176473440778,-0.05366649061132559
PatchNAS,stayed_correct,lisa_signs/resnet50,48.84812034979034,47.78011631714721,3.6766801398125253,2.2543207770213485,0.051373456263925366,0.03468945135093712
PatchNAS,stayed_correct,lisa_signs/vgg16,9622.832442161114,3862.8494000653627,1725.7198122660548,771.2021754582723,0.043715704014431755,0.04817732877992371
PatchNAS,stayed_correct,tt100k_signs/convnext_tiny,65.05492755760369,65.11388988127688,5.640468695375804,5.492956558863322,0.06033570768197705,0.06144592962875576
PatchNAS,stayed_correct,tt100k_signs/densenet121,80.74655617255856,79.81386119782688,9.398585579237363,10.652794818083445,0.08231043096981581,0.09164646222045071
PatchNAS,stayed_correct,tt100k_signs/resnet50,176.67032530376335,176.82874888562026,5.720049930726039,4.7940432379643125,0.024209321267624706,0.021465908582047475
PatchNAS,stayed_correct,tt100k_signs/vgg16,494.6372119185783,392.0687238472415,3.8334366660076182,-1.343670591711998,0.007718375043469345,-0.0023476146130734315
