method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
NN-Patching [ungated],tt100k_signs/vgg16,202,103,0.3188863904883322,0.0,0.0,0.6666666666666666,0.7619047619047619,0.6311360448807855,-7.969696969696968,147,0.8095238095238095,0.6190476190476191,0.38095238095238093,21,0.9333800841514727,0.8490795077893659,1.0,108,0.9230769230769231,0.7984973703981968,0.9283135636926251,-10.470910885845564,6655
NN-Patching [ungated],tt100k_signs/vgg16,303,102,0.3047608437314319,0.0,0.0,0.6499999999999999,0.7746478873239436,0.6127101738387004,-7.9588764341851235,142,0.782608695652174,0.6086956521739131,0.391304347826087,23,0.9497896213183731,0.8443381854411726,1.0,109,0.9478260869565217,0.8058180744240993,0.9505330397436177,-10.35231591707359,6772
NN-Patching [ungated],lisa_signs/resnet50,101,13,0.5025641025641026,0.3333333333333333,0.0,1.0,0.7222222222222222,0.8592910848549946,-1.1321324141291809,18,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.7727759914255091,0.8631600968050807,1.0,48,0.9230769230769231,0.6747572815533981,0.9327633113097551,-4.672264018398596,1442
NN-Patching [ungated],lisa_signs/resnet50,202,11,0.4848484848484848,0.6666666666666666,0.0,1.0,0.65,0.6717044500419815,-2.7797223137664955,20,1.0,1.0,0.5,2,0.7363344051446945,0.814362587047297,1.0,47,0.9038461538461539,0.7328966521106259,0.9251057966735557,-4.235694420211791,1374
NN-Patching [ungated],lisa_signs/resnet50,303,17,0.20588235294117646,0.0,0.0,0.0,0.9166666666666666,0.4546746234725775,-4.030952236025721,12,1.0,1.0,1.0,1,0.9056806002143623,0.8957924704729512,1.0,50,0.9433962264150944,0.757396449704142,0.9539254030334828,-3.3242427318031385,1690
NN-Patching [ungated],lisa_signs/convnext_tiny,101,6,0.28571428571428575,0.0,0.0,0.5357142857142857,0.8333333333333334,0.5412719891745602,-2.0088029172703834,6,1.0,1.0,1.0,1,0.9705107951553449,0.9334101431090327,1.0,51,0.9622641509433962,0.7400976668475312,0.9642654566080544,-5.891883036371796,1843
NN-Patching [ungated],lisa_signs/convnext_tiny,202,8,0.35,0.0,0.0,0.8500000000000001,0.8571428571428571,0.5937654626422563,-2.370427837707582,7,1.0,1.0,1.0,1,0.8551869404949973,0.9308933759727831,1.0,50,0.9615384615384616,0.7001231527093597,0.9733307377846993,-1.9710700020577108,1624
NN-Patching [ungated],lisa_signs/convnext_tiny,303,9,0.3055555555555556,0.0,0.0,0.75,0.8333333333333334,0.6147540983606558,-2.456729355399788,6,,,,0,0.7867298578199052,0.9002057613168725,1.0,49,0.9074074074074074,0.7161981258366801,0.927722819141383,-4.179704510785915,1494
NN-Patching [ungated],lisa_signs/densenet121,101,10,0.26666666666666666,0.0,0.0,0.5,0.8333333333333334,0.6060606060606061,-2.6353757757579954,6,,,,0,0.7597676874340021,0.890928854932446,1.0,49,0.9423076923076923,0.6754690757470465,0.9533537623425263,-3.1359467536834886,1439
NN-Patching [ungated],lisa_signs/densenet121,202,11,0.25757575757575757,0.0,0.0,0.41666666666666663,0.6,0.8933556672250139,-0.8195160890131007,5,,,,0,0.6029567053854277,0.8861111853223911,1.0,51,0.9622641509433962,0.5858143607705779,1.0080545535405445,0.3215102709720584,1142
