gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
L1 magnitude,gtsrb,densenet121,0.65,0.001437,0.000338,0.001905,0.220884,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.5743,0.6668,0.6299
L1 magnitude,gtsrb,densenet121,0.675,0.001371,0.000338,0.001838,0.204819,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.5941,0.6668,0.6429
L1 magnitude,gtsrb,densenet121,0.7,0.00127,0.000338,0.001738,0.196787,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.6238,0.6668,0.6623
L1 magnitude,gtsrb,densenet121,0.725,0.001203,0.000338,0.001671,0.180723,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.6436,0.6668,0.6753
L1 magnitude,gtsrb,densenet121,0.75,0.001137,0.000169,0.001437,0.160643,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.6634,0.8339,0.7208
L1 magnitude,gtsrb,densenet121,0.775,0.001103,0.000169,0.001337,0.13253,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.6733,0.8339,0.7403
L1 magnitude,gtsrb,densenet121,0.8,0.000936,0.000169,0.00117,0.124498,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.7228,0.8339,0.7727
L1 magnitude,gtsrb,densenet121,0.825,0.000869,0.000169,0.001103,0.100402,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.7426,0.8339,0.7857
L1 magnitude,gtsrb,densenet121,0.85,0.000802,0.0,0.000802,0.080321,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.7624,1.0,0.8442
L1 magnitude,gtsrb,densenet121,0.875,0.000669,0.0,0.000669,0.064257,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.802,1.0,0.8701
L1 magnitude,gtsrb,densenet121,0.9,0.000602,0.0,0.000602,0.044177,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.8218,1.0,0.8831
L1 magnitude,gtsrb,densenet121,0.925,0.000535,0.0,0.000535,0.024096,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.8416,1.0,0.8961
L1 magnitude,gtsrb,densenet121,0.95,0.000368,0.0,0.000368,0.02008,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.8911,1.0,0.9286
L1 magnitude,gtsrb,densenet121,0.975,0.0001,0.0,0.0001,0.02008,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.9703,1.0,0.9805
L1 magnitude,gtsrb,densenet121,1.0,0.0,0.0,0.0,0.0,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,1.0,1.0,1.0
L1 magnitude,gtsrb,resnet50,0.0,0.006748,0.000342,0.016921,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0,0.0,0.0
L1 magnitude,gtsrb,resnet50,0.01,0.006682,0.000342,0.016854,0.680556,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0099,0.0,0.0039
L1 magnitude,gtsrb,resnet50,0.02,0.006582,0.000342,0.016655,0.680556,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0246,0.0,0.0157
L1 magnitude,gtsrb,resnet50,0.03,0.006482,0.000342,0.016356,0.680556,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0394,0.0,0.0334
L1 magnitude,gtsrb,resnet50,0.04,0.006416,0.000342,0.016289,0.673611,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0493,0.0,0.0373
L1 magnitude,gtsrb,resnet50,0.05,0.006316,0.000342,0.016023,0.666667,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.064,0.0,0.053
L1 magnitude,gtsrb,resnet50,0.06,0.00625,0.000342,0.01589,0.659722,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0739,0.0,0.0609
L1 magnitude,gtsrb,resnet50,0.07,0.006217,0.000342,0.015791,0.652778,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0788,0.0,0.0668
L1 magnitude,gtsrb,resnet50,0.08,0.006117,0.000342,0.015525,0.652778,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.0936,0.0,0.0825
L1 magnitude,gtsrb,resnet50,0.09,0.005984,0.000342,0.015226,0.652778,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1133,0.0,0.1002
L1 magnitude,gtsrb,resnet50,0.1,0.005884,0.000342,0.014993,0.652778,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1281,0.0,0.1139
L1 magnitude,gtsrb,resnet50,0.11,0.005818,0.000342,0.014727,0.645833,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1379,0.0,0.1297
L1 magnitude,gtsrb,resnet50,0.12,0.005751,0.000342,0.01466,0.631944,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1478,0.0,0.1336
L1 magnitude,gtsrb,resnet50,0.13,0.005618,0.000342,0.014428,0.631944,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.1675,0.0,0.1473
