gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
DPGate,gtsrb,resnet50,0.975,0.0,0.0,0.0,0.069444,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,1.0,0.0,0.0,0.0,0.0,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,lisa_signs,densenet121,0.0,0.004752,0.00995,0.025167,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.0,0.0,0.0
DPGate,lisa_signs,densenet121,0.01,0.004224,0.00859,0.021999,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1111,0.1366,0.1259
DPGate,lisa_signs,densenet121,0.02,0.004224,0.00859,0.021999,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1111,0.1366,0.1259
DPGate,lisa_signs,densenet121,0.03,0.004224,0.00859,0.021999,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1111,0.1366,0.1259
DPGate,lisa_signs,densenet121,0.04,0.004224,0.00859,0.021999,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1111,0.1366,0.1259
DPGate,lisa_signs,densenet121,0.05,0.003872,0.007691,0.019887,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1852,0.227,0.2098
DPGate,lisa_signs,densenet121,0.06,0.003872,0.007691,0.019887,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1852,0.227,0.2098
DPGate,lisa_signs,densenet121,0.07,0.003872,0.007691,0.019887,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1852,0.227,0.2098
DPGate,lisa_signs,densenet121,0.08,0.003872,0.007691,0.019887,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.1852,0.227,0.2098
DPGate,lisa_signs,densenet121,0.09,0.003696,0.007237,0.018831,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.2222,0.2726,0.2517
DPGate,lisa_signs,densenet121,0.1,0.00352,0.006792,0.017775,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.2593,0.3174,0.2937
DPGate,lisa_signs,densenet121,0.11,0.00352,0.006792,0.017775,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.2593,0.3174,0.2937
DPGate,lisa_signs,densenet121,0.12,0.00352,0.006792,0.017775,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.2593,0.3174,0.2937
DPGate,lisa_signs,densenet121,0.13,0.00352,0.006792,0.017775,0.411765,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.2593,0.3174,0.2937
DPGate,lisa_signs,densenet121,0.14,0.003344,0.006338,0.016719,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.2963,0.363,0.3357
DPGate,lisa_signs,densenet121,0.15,0.003168,0.005893,0.015663,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.3333,0.4078,0.3776
DPGate,lisa_signs,densenet121,0.16,0.003168,0.005893,0.015663,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.3333,0.4078,0.3776
DPGate,lisa_signs,densenet121,0.17,0.003168,0.005893,0.015663,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.3333,0.4078,0.3776
DPGate,lisa_signs,densenet121,0.18,0.002992,0.005439,0.014608,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.3704,0.4533,0.4196
DPGate,lisa_signs,densenet121,0.19,0.002992,0.005439,0.014608,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.3704,0.4533,0.4196
DPGate,lisa_signs,densenet121,0.2,0.00264,0.004979,0.013024,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.4444,0.4996,0.4825
DPGate,lisa_signs,densenet121,0.21,0.00264,0.004979,0.013024,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.4444,0.4996,0.4825
DPGate,lisa_signs,densenet121,0.22,0.002464,0.004525,0.011968,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.4815,0.5452,0.5245
DPGate,lisa_signs,densenet121,0.23,0.002464,0.004525,0.011968,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.4815,0.5452,0.5245
DPGate,lisa_signs,densenet121,0.24,0.002464,0.004525,0.011968,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.4815,0.5452,0.5245
DPGate,lisa_signs,densenet121,0.25,0.002288,0.004525,0.01144,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.5185,0.5452,0.5455
DPGate,lisa_signs,densenet121,0.26,0.002288,0.004525,0.01144,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.5185,0.5452,0.5455
DPGate,lisa_signs,densenet121,0.27,0.002112,0.004072,0.010384,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.5556,0.5908,0.5874
DPGate,lisa_signs,densenet121,0.28,0.002112,0.004072,0.010384,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.5556,0.5908,0.5874
DPGate,lisa_signs,densenet121,0.29,0.002112,0.004072,0.010384,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.5556,0.5908,0.5874
DPGate,lisa_signs,densenet121,0.3,0.002112,0.004072,0.010384,0.392157,0.004752,0.00995,0.025167,0.411765,735.7,7.3,1894.0,17.0,0.5556,0.5908,0.5874
