method,variant,setting,label,dataset,backbone,seed,metric,value,note,source
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,Reg,0.00351,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,CReg,0.003539,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,RR_seen,0.880795,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,RR_held,0.610526,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,Reg,0.003571,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,CReg,0.001545,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,RR_seen,0.84106,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,RR_held,0.610526,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,Reg,0.005102,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,CReg,0.000522,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,RR_seen,0.854305,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,RR_held,0.578947,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,Reg,0.003265,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,CReg,0.000521,,outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,RR_seen,0.748344,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,RR_held,0.610526,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,Reg,0.012244,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,101,CReg,0.005149,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,RR_seen,0.774834,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,RR_held,0.589474,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,Reg,0.018059,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,202,CReg,0.012539,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,RR_seen,0.695364,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,RR_held,0.626316,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,Reg,0.016325,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,gtsrb/vgg16,G-VG,gtsrb,vgg16,303,CReg,0.01877,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,RR_seen,0.771845,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,RR_held,0.422481,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,Reg,0.014085,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,CReg,0.003652,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,RR_seen,0.800971,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,RR_held,0.387597,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,Reg,0.011875,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,CReg,0.003437,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,RR_seen,0.825243,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,RR_held,0.348837,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,Reg,0.009666,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,CReg,0.005857,,outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,RR_seen,0.31068,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,RR_held,0.251938,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,Reg,0.008561,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,101,CReg,0.001217,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
