setting,seed,lambda,RR_held,Reg,CReg,method
tt100k_signs/convnext_tiny,101,2.0,0.42660550458715596,0.0019162332329592116,0.0024265954865323952,NN-Patching
tt100k_signs/convnext_tiny,101,4.0,0.40825688073394495,0.0012318642211880647,0.0012132977432661976,NN-Patching
tt100k_signs/convnext_tiny,202,0.5,0.5871559633027523,0.002737476047084588,0.002910502061605627,NN-Patching
tt100k_signs/convnext_tiny,202,1.0,0.5596330275229358,0.0023268546400219,0.0026679602231384912,NN-Patching
tt100k_signs/convnext_tiny,202,2.0,0.5229357798165137,0.0012318642211880647,0.001212709192335678,NN-Patching
tt100k_signs/convnext_tiny,202,4.0,0.4541284403669725,0.000684369011771147,0.0007276255154014067,NN-Patching
tt100k_signs/convnext_tiny,303,0.5,0.5688073394495413,0.0015056118258965235,0.001928175463967221,NN-Patching
tt100k_signs/convnext_tiny,303,1.0,0.5412844036697247,0.0008212428141253764,0.0009640877319836105,NN-Patching
tt100k_signs/convnext_tiny,303,2.0,0.5137614678899083,0.000684369011771147,0.0009640877319836105,NN-Patching
tt100k_signs/convnext_tiny,303,4.0,0.463302752293578,0.0002737476047084588,0.00024102193299590263,NN-Patching
tt100k_signs/densenet121,101,0.5,0.6634615384615384,0.002795248078266946,0.0014680694886224615,NN-Patching
tt100k_signs/densenet121,101,1.0,0.6282051282051282,0.002236198462613557,0.0009787129924149743,NN-Patching
tt100k_signs/densenet121,101,2.0,0.6025641025641025,0.0016771488469601676,0.0007340347443112308,NN-Patching
tt100k_signs/densenet121,101,4.0,0.5576923076923077,0.0015373864430468203,0.0007340347443112308,NN-Patching
tt100k_signs/densenet121,202,0.5,0.6602564102564102,0.0011180992313067784,0.0007412898443291327,NN-Patching
tt100k_signs/densenet121,202,1.0,0.6378205128205128,0.0009783368273934311,0.0007412898443291327,NN-Patching
tt100k_signs/densenet121,202,2.0,0.6057692307692307,0.0006988120195667365,0.0004941932295527551,NN-Patching
tt100k_signs/densenet121,202,4.0,0.5673076923076923,0.0005590496156533892,0.00024709661477637757,NN-Patching
