method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
FixedPatch,lisa_signs/convnext_tiny,101,6,0.6190476190476191,0.8571428571428572,0.0,0.8214285714285714,0.625,0.9111617312072894,-0.4524800417493028,8,1.0,1.0,1.0,1,0.010531858873091101,0.0158518093460362,0.25,13,0.24528301886792453,0.9,1.061874617112518,0.4456889700721446,20
FixedPatch,lisa_signs/convnext_tiny,202,8,0.35,0.0,0.0,0.8500000000000001,0.8571428571428571,0.5937654626422563,-2.370427837707582,7,1.0,1.0,1.0,1,0.027909426013691417,0.06294988750637162,1.0,13,0.25,0.9433962264150944,0.6034582801439016,-3.664860019293541,53
FixedPatch,lisa_signs/convnext_tiny,303,9,0.3333333333333333,0.0,0.0,1.0,0.8571428571428571,0.5452067242162653,-2.9804473387799684,7,,,,0,0.00737230121116377,0.008081261284182515,0.16666666666666666,8,0.14814814814814814,1.0,0.8270871026104937,-1.1405708801428038,14
FixedPatch,lisa_signs/densenet121,101,10,0.25,0.0,0.0,0.4583333333333333,0.6,0.9340338587273789,-0.40452452553387097,5,,,,0,0.0031678986272439284,0.0010224182477990673,0.027777777777777776,3,0.057692307692307696,1.0,0.5964214711729622,-2.402240703531477,6
FixedPatch,lisa_signs/densenet121,202,11,0.22727272727272727,0.0,0.0,0.25,0.8333333333333334,0.5711565920990004,-3.480892655742376,6,,,,0,0.003695881731784583,0.005593865037586573,0.14285714285714285,6,0.11320754716981132,1.0,1.0376134889753568,0.24016019830416224,7
FixedPatch,lisa_signs/densenet121,303,12,0.27777777777777773,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7487131492746841,-1.9077730832289268,6,,,,0,0.005279831045406547,0.0036432792288355075,0.1111111111111111,5,0.09433962264150944,1.0,0.6482982171799028,-2.2967142577524076,10
FixedPatch,lisa_signs/resnet50,101,13,0.3777777777777778,0.0,0.0,0.8,0.7222222222222222,0.6444683136412459,-2.860578847914189,18,1.0,0.6666666666666666,0.6666666666666666,3,0.00964630225080386,0.013147923868930385,0.5,7,0.1346153846153846,1.0,0.6104207543056465,-2.6969752381547436,18
FixedPatch,lisa_signs/resnet50,202,11,0.5321067821067822,0.5555555555555556,0.0,0.31547619047619047,0.5263157894736842,1.0398613518197575,0.3357316437893409,19,1.0,1.0,0.5,2,0.010718113612004287,0.043618825821267034,1.0,10,0.19230769230769232,1.0,0.8237232289950577,-1.1726423492564808,20
FixedPatch,lisa_signs/resnet50,303,17,0.3648459383753502,0.25,0.0,0.6666666666666666,0.5,1.0230179028132993,0.17014441433980423,12,0.0,0.0,0.0,1,0.010182207931404072,0.02427485907005235,1.0,9,0.16981132075471697,1.0,0.7646559048428208,-1.6232171661899442,19
FixedPatch,lisa_signs/vgg16,101,21,0.5317460317460317,0.6666666666666666,0.0,1.0,0.5,1.0058027079303675,0.05575668829974913,18,1.0,0.0,0.0,1,0.0101931330472103,0.012309423949578895,0.25,10,0.19230769230769232,1.0,0.8463817181548879,-1.0647450700356988,19
