method,setting,seed,kind,true_class,n_events,n_pool
Always Patch (ungated),gtsrb/densenet121,101,repair,35,4,6
Always Patch (ungated),gtsrb/densenet121,101,repair,38,1,1
Always Patch (ungated),gtsrb/densenet121,101,repair,39,2,3
Always Patch (ungated),gtsrb/densenet121,101,repair,40,0,1
Always Patch (ungated),gtsrb/densenet121,101,repair,41,9,9
Always Patch (ungated),gtsrb/densenet121,101,regression,0,0,46
Always Patch (ungated),gtsrb/densenet121,101,regression,1,0,582
Always Patch (ungated),gtsrb/densenet121,101,regression,2,0,605
Always Patch (ungated),gtsrb/densenet121,101,regression,3,9,356
Always Patch (ungated),gtsrb/densenet121,101,regression,4,0,522
Always Patch (ungated),gtsrb/densenet121,101,regression,5,0,499
Always Patch (ungated),gtsrb/densenet121,101,regression,6,0,127
Always Patch (ungated),gtsrb/densenet121,101,regression,7,0,353
Always Patch (ungated),gtsrb/densenet121,101,regression,8,0,338
Always Patch (ungated),gtsrb/densenet121,101,regression,9,0,392
Always Patch (ungated),gtsrb/densenet121,101,regression,10,0,524
Always Patch (ungated),gtsrb/densenet121,101,regression,11,0,329
Always Patch (ungated),gtsrb/densenet121,101,regression,12,0,552
Always Patch (ungated),gtsrb/densenet121,101,regression,13,0,589
Always Patch (ungated),gtsrb/densenet121,101,regression,14,0,213
Always Patch (ungated),gtsrb/densenet121,101,regression,15,0,160
Always Patch (ungated),gtsrb/densenet121,101,regression,16,0,113
Always Patch (ungated),gtsrb/densenet121,101,regression,17,1,289
Always Patch (ungated),gtsrb/densenet121,101,regression,18,0,305
Always Patch (ungated),gtsrb/densenet121,101,regression,19,0,48
Always Patch (ungated),gtsrb/densenet121,101,regression,20,0,73
Always Patch (ungated),gtsrb/densenet121,101,regression,21,0,68
Always Patch (ungated),gtsrb/densenet121,101,regression,22,11,91
Always Patch (ungated),gtsrb/densenet121,101,regression,23,0,114
Always Patch (ungated),gtsrb/densenet121,101,regression,24,23,77
Always Patch (ungated),gtsrb/densenet121,101,regression,25,1,374
Always Patch (ungated),gtsrb/densenet121,101,regression,26,0,145
Always Patch (ungated),gtsrb/densenet121,101,regression,27,0,34
Always Patch (ungated),gtsrb/densenet121,101,regression,28,0,113
Always Patch (ungated),gtsrb/densenet121,101,regression,29,2,73
Always Patch (ungated),gtsrb/densenet121,101,regression,30,0,115
Always Patch (ungated),gtsrb/densenet121,101,regression,31,0,204
Always Patch (ungated),gtsrb/densenet121,101,regression,32,0,47
Always Patch (ungated),gtsrb/densenet121,101,regression,33,0,169
Always Patch (ungated),gtsrb/densenet121,101,regression,34,0,90
Always Patch (ungated),gtsrb/densenet121,101,regression,35,0,296
Always Patch (ungated),gtsrb/densenet121,101,regression,36,0,106
Always Patch (ungated),gtsrb/densenet121,101,regression,37,0,48
Always Patch (ungated),gtsrb/densenet121,101,regression,38,0,559
Always Patch (ungated),gtsrb/densenet121,101,regression,39,0,66
Always Patch (ungated),gtsrb/densenet121,101,regression,40,0,67
Always Patch (ungated),gtsrb/densenet121,101,regression,41,0,34
Always Patch (ungated),gtsrb/densenet121,101,regression,42,0,67
Always Patch (ungated),gtsrb/densenet121,202,repair,1,0,4
Always Patch (ungated),gtsrb/densenet121,202,repair,2,1,2
Always Patch (ungated),gtsrb/densenet121,202,repair,3,3,5
Always Patch (ungated),gtsrb/densenet121,202,repair,4,1,1
Always Patch (ungated),gtsrb/densenet121,202,repair,6,2,4
Always Patch (ungated),gtsrb/densenet121,202,repair,7,0,1
Always Patch (ungated),gtsrb/densenet121,202,repair,8,10,10
Always Patch (ungated),gtsrb/densenet121,202,repair,11,0,3
Always Patch (ungated),gtsrb/densenet121,202,repair,12,1,1
Always Patch (ungated),gtsrb/densenet121,202,repair,13,0,1
Always Patch (ungated),gtsrb/densenet121,202,repair,16,1,1
Always Patch (ungated),gtsrb/densenet121,202,repair,18,2,5
Always Patch (ungated),gtsrb/densenet121,202,repair,21,1,1
Always Patch (ungated),gtsrb/densenet121,202,repair,25,8,8
Always Patch (ungated),gtsrb/densenet121,202,repair,26,1,2
Always Patch (ungated),gtsrb/densenet121,202,repair,27,3,3
Always Patch (ungated),gtsrb/densenet121,202,repair,30,2,2
Always Patch (ungated),gtsrb/densenet121,202,repair,31,10,10
Always Patch (ungated),gtsrb/densenet121,202,repair,33,0,1
Always Patch (ungated),gtsrb/densenet121,202,repair,35,3,3
Always Patch (ungated),gtsrb/densenet121,202,repair,39,1,2
Always Patch (ungated),gtsrb/densenet121,202,repair,40,0,1
Always Patch (ungated),gtsrb/densenet121,202,repair,41,12,12
Always Patch (ungated),gtsrb/densenet121,202,regression,0,0,51
Always Patch (ungated),gtsrb/densenet121,202,regression,1,0,578
Always Patch (ungated),gtsrb/densenet121,202,regression,2,0,622
Always Patch (ungated),gtsrb/densenet121,202,regression,3,0,366
Always Patch (ungated),gtsrb/densenet121,202,regression,4,0,530
Always Patch (ungated),gtsrb/densenet121,202,regression,5,2,491
Always Patch (ungated),gtsrb/densenet121,202,regression,6,0,113
Always Patch (ungated),gtsrb/densenet121,202,regression,7,0,358
Always Patch (ungated),gtsrb/densenet121,202,regression,8,0,343
Always Patch (ungated),gtsrb/densenet121,202,regression,9,0,365
Always Patch (ungated),gtsrb/densenet121,202,regression,10,0,523
Always Patch (ungated),gtsrb/densenet121,202,regression,11,0,323
Always Patch (ungated),gtsrb/densenet121,202,regression,12,0,553
Always Patch (ungated),gtsrb/densenet121,202,regression,13,1,586
Always Patch (ungated),gtsrb/densenet121,202,regression,14,0,220
Always Patch (ungated),gtsrb/densenet121,202,regression,15,0,172
Always Patch (ungated),gtsrb/densenet121,202,regression,16,0,113
Always Patch (ungated),gtsrb/densenet121,202,regression,17,0,285
Always Patch (ungated),gtsrb/densenet121,202,regression,18,3,308
Always Patch (ungated),gtsrb/densenet121,202,regression,19,0,48
Always Patch (ungated),gtsrb/densenet121,202,regression,20,0,68
Always Patch (ungated),gtsrb/densenet121,202,regression,21,0,71
Always Patch (ungated),gtsrb/densenet121,202,regression,22,0,96
Always Patch (ungated),gtsrb/densenet121,202,regression,23,0,117
Always Patch (ungated),gtsrb/densenet121,202,regression,24,15,59
Always Patch (ungated),gtsrb/densenet121,202,regression,25,0,366
Always Patch (ungated),gtsrb/densenet121,202,regression,26,0,143
Always Patch (ungated),gtsrb/densenet121,202,regression,27,0,40
Always Patch (ungated),gtsrb/densenet121,202,regression,28,0,115
Always Patch (ungated),gtsrb/densenet121,202,regression,29,0,75
Always Patch (ungated),gtsrb/densenet121,202,regression,30,0,123
Always Patch (ungated),gtsrb/densenet121,202,regression,31,0,192
Always Patch (ungated),gtsrb/densenet121,202,regression,32,0,48
Always Patch (ungated),gtsrb/densenet121,202,regression,33,0,173
Always Patch (ungated),gtsrb/densenet121,202,regression,34,0,94
Always Patch (ungated),gtsrb/densenet121,202,regression,35,0,309
Always Patch (ungated),gtsrb/densenet121,202,regression,36,0,91
Always Patch (ungated),gtsrb/densenet121,202,regression,37,0,48
Always Patch (ungated),gtsrb/densenet121,202,regression,38,0,557
Always Patch (ungated),gtsrb/densenet121,202,regression,39,0,65
Always Patch (ungated),gtsrb/densenet121,202,regression,40,0,72
Always Patch (ungated),gtsrb/densenet121,202,regression,41,0,32
Always Patch (ungated),gtsrb/densenet121,202,regression,42,0,70
Always Patch (ungated),gtsrb/densenet121,303,repair,1,1,1
Always Patch (ungated),gtsrb/densenet121,303,repair,2,1,2
Always Patch (ungated),gtsrb/densenet121,303,repair,3,5,5
Always Patch (ungated),gtsrb/densenet121,303,repair,4,1,1
Always Patch (ungated),gtsrb/densenet121,303,repair,6,2,2
Always Patch (ungated),gtsrb/densenet121,303,repair,7,0,1
Always Patch (ungated),gtsrb/densenet121,303,repair,8,6,6
Always Patch (ungated),gtsrb/densenet121,303,repair,11,0,3
Always Patch (ungated),gtsrb/densenet121,303,repair,12,1,1
Always Patch (ungated),gtsrb/densenet121,303,repair,13,0,1
Always Patch (ungated),gtsrb/densenet121,303,repair,16,2,2
Always Patch (ungated),gtsrb/densenet121,303,repair,18,3,3
Always Patch (ungated),gtsrb/densenet121,303,repair,21,1,3
Always Patch (ungated),gtsrb/densenet121,303,repair,22,0,1
Always Patch (ungated),gtsrb/densenet121,303,repair,25,6,9
Always Patch (ungated),gtsrb/densenet121,303,repair,27,7,7
Always Patch (ungated),gtsrb/densenet121,303,repair,30,2,2
Always Patch (ungated),gtsrb/densenet121,303,repair,31,12,12
Always Patch (ungated),gtsrb/densenet121,303,repair,35,4,5
Always Patch (ungated),gtsrb/densenet121,303,repair,39,1,1
Always Patch (ungated),gtsrb/densenet121,303,repair,41,15,15
Always Patch (ungated),gtsrb/densenet121,303,regression,0,0,48
Always Patch (ungated),gtsrb/densenet121,303,regression,1,1,573
Always Patch (ungated),gtsrb/densenet121,303,regression,2,1,585
Always Patch (ungated),gtsrb/densenet121,303,regression,3,0,348
Always Patch (ungated),gtsrb/densenet121,303,regression,4,0,534
Always Patch (ungated),gtsrb/densenet121,303,regression,5,0,481
Always Patch (ungated),gtsrb/densenet121,303,regression,6,0,124
Always Patch (ungated),gtsrb/densenet121,303,regression,7,0,354
Always Patch (ungated),gtsrb/densenet121,303,regression,8,0,356
Always Patch (ungated),gtsrb/densenet121,303,regression,9,0,383
Always Patch (ungated),gtsrb/densenet121,303,regression,10,3,534
Always Patch (ungated),gtsrb/densenet121,303,regression,11,1,333
Always Patch (ungated),gtsrb/densenet121,303,regression,12,0,560
Always Patch (ungated),gtsrb/densenet121,303,regression,13,1,578
Always Patch (ungated),gtsrb/densenet121,303,regression,14,0,215
Always Patch (ungated),gtsrb/densenet121,303,regression,15,0,161
Always Patch (ungated),gtsrb/densenet121,303,regression,16,0,124
Always Patch (ungated),gtsrb/densenet121,303,regression,17,1,292
Always Patch (ungated),gtsrb/densenet121,303,regression,18,0,308
Always Patch (ungated),gtsrb/densenet121,303,regression,19,0,42
Always Patch (ungated),gtsrb/densenet121,303,regression,20,0,80
Always Patch (ungated),gtsrb/densenet121,303,regression,21,0,68
Always Patch (ungated),gtsrb/densenet121,303,regression,22,7,91
Always Patch (ungated),gtsrb/densenet121,303,regression,23,0,128
Always Patch (ungated),gtsrb/densenet121,303,regression,24,13,75
Always Patch (ungated),gtsrb/densenet121,303,regression,25,1,358
Always Patch (ungated),gtsrb/densenet121,303,regression,26,0,143
Always Patch (ungated),gtsrb/densenet121,303,regression,27,0,30
Always Patch (ungated),gtsrb/densenet121,303,regression,28,0,123
Always Patch (ungated),gtsrb/densenet121,303,regression,29,1,71
Always Patch (ungated),gtsrb/densenet121,303,regression,30,0,122
Always Patch (ungated),gtsrb/densenet121,303,regression,31,0,197
Always Patch (ungated),gtsrb/densenet121,303,regression,32,0,51
Always Patch (ungated),gtsrb/densenet121,303,regression,33,0,180
Always Patch (ungated),gtsrb/densenet121,303,regression,34,0,100
Always Patch (ungated),gtsrb/densenet121,303,regression,35,0,289
Always Patch (ungated),gtsrb/densenet121,303,regression,36,1,94
Always Patch (ungated),gtsrb/densenet121,303,regression,37,0,48
Always Patch (ungated),gtsrb/densenet121,303,regression,38,0,555
Always Patch (ungated),gtsrb/densenet121,303,regression,39,0,72
Always Patch (ungated),gtsrb/densenet121,303,regression,40,0,68
Always Patch (ungated),gtsrb/densenet121,303,regression,41,0,32
Always Patch (ungated),gtsrb/densenet121,303,regression,42,0,64
Always Patch (ungated),gtsrb/resnet50,101,repair,2,0,1
Always Patch (ungated),gtsrb/resnet50,101,repair,3,2,3
Always Patch (ungated),gtsrb/resnet50,101,repair,4,0,3
Always Patch (ungated),gtsrb/resnet50,101,repair,6,1,1
Always Patch (ungated),gtsrb/resnet50,101,repair,8,0,2
Always Patch (ungated),gtsrb/resnet50,101,repair,9,0,2
Always Patch (ungated),gtsrb/resnet50,101,repair,10,3,3
Always Patch (ungated),gtsrb/resnet50,101,repair,11,6,6
Always Patch (ungated),gtsrb/resnet50,101,repair,12,1,1
Always Patch (ungated),gtsrb/resnet50,101,repair,13,1,2
Always Patch (ungated),gtsrb/resnet50,101,repair,15,1,2
Always Patch (ungated),gtsrb/resnet50,101,repair,18,3,3
Always Patch (ungated),gtsrb/resnet50,101,repair,22,1,1
Always Patch (ungated),gtsrb/resnet50,101,repair,24,4,4
Always Patch (ungated),gtsrb/resnet50,101,repair,25,6,6
Always Patch (ungated),gtsrb/resnet50,101,repair,26,1,1
Always Patch (ungated),gtsrb/resnet50,101,repair,27,0,1
Always Patch (ungated),gtsrb/resnet50,101,repair,33,0,1
