method,setting,seed,split,grouping,n_vec,n_groups,cos_within,cos_between,cos_gap,cos_gap_null_mean,cos_gap_null_sd,cos_z,cos_p_perm,l2_within,l2_between,l2_gap,l2_gap_null_mean,l2_gap_null_sd,l2_z,l2_p_perm,n_pairs_within,n_pairs_between,note
PatchNAS,tt100k_signs/vgg16,101,seen,true_class,262,96.0,0.015805400680380104,0.043504425951498164,0.02769902527111806,0.00019051575084882923,0.001514511969405088,18.16328299664182,0.0,0.8866007592831379,1.2924587418708047,0.4058579825876668,0.004628802660537318,0.05910128180258142,6.7888405747371765,0.0,539.0,33652.0,
PatchNAS,tt100k_signs/vgg16,101,held,failure_type,328,178.0,0.2189130395582382,0.2546972815051178,0.03578424194687957,0.0017367856138550742,0.048733631884191435,0.6986439347109364,0.495,2.2070276512852076,3.041973671011454,0.8349460197262464,-0.00047955742458716586,0.740760633066122,1.1277942426445517,0.25,415.0,53213.0,
PatchNAS,tt100k_signs/vgg16,101,held,true_class,328,100.0,0.30778670654390056,0.2532768662226275,-0.05450984032127304,0.005344299265537688,0.049558842171187965,-1.2077388607839672,0.29,3.92601001776964,3.016431445075996,-0.9095785726936443,0.07564855984733578,0.745027864486864,-1.322403066384947,0.2,1125.0,52503.0,
PatchNAS,tt100k_signs/vgg16,202,seen,failure_type,262,157.0,0.03708510011580294,0.151457918380405,0.11437281826460208,-0.0008107504074740327,0.011474521048072523,10.03820274323226,0.0,0.6282622273259808,1.3082283953854972,0.6799661680595164,0.0040544847372115545,0.11789299218079215,5.733264300222716,0.0,243.0,33948.0,
PatchNAS,tt100k_signs/vgg16,202,seen,true_class,262,92.0,0.09235186997077278,0.15175171220524372,0.05939984223447094,-0.0004936240676896887,0.009771258413351417,6.129555044229802,0.0,1.0430715233859635,1.3083378651543842,0.2652663417684207,0.0021738696043531636,0.09370371818142743,2.807705790840284,0.01,637.0,33554.0,
PatchNAS,tt100k_signs/vgg16,202,held,failure_type,328,181.0,0.14480179649252728,0.2761808655996884,0.13137906910716113,-0.001172314890367146,0.03183165306099464,4.1641376192236725,0.0,2.8002714770027253,4.754723197224841,1.9544517202221159,0.02778975068958606,1.5310710687268316,1.2583752700215247,0.165,436.0,53192.0,
PatchNAS,tt100k_signs/vgg16,202,held,true_class,328,103.0,0.22808859289030872,0.2760190130584748,0.047930420168166094,-0.00044948113940012925,0.02329359354378784,2.076961685389745,0.055,4.391955425458192,4.745518528706092,0.3535631032479003,-0.15387592674883172,1.4161855595768387,0.3583139416758339,0.81,1014.0,52614.0,
PatchNAS,tt100k_signs/vgg16,303,seen,failure_type,262,150.0,0.005118181355951879,0.04259797326213501,0.037479791906183134,0.00011137675228733095,0.0038570822523185428,9.688259855424368,0.0,0.7335593392833233,1.3687479625511505,0.6351886232678272,0.009953216035481022,0.14366588912428063,4.35201014687017,0.0,347.0,33844.0,
PatchNAS,tt100k_signs/vgg16,303,seen,true_class,262,92.0,0.013364708217879955,0.04279956059253845,0.029434852374658496,-7.847396422026531e-05,0.0029260766605421745,10.086313433539335,0.0,1.0846770680874962,1.3679012214615935,0.28322415337409734,0.008956302460512815,0.10605007757869316,2.586210752250334,0.005,676.0,33515.0,
PatchNAS,tt100k_signs/vgg16,303,held,failure_type,328,180.0,0.10681306218887572,0.15871977147851402,0.051906709289638295,0.000592548161269919,0.03503125232907819,1.4648109249668337,0.14,1.0744623245135518,1.7186094605940152,0.6441471360804634,0.025955151803562206,0.22242711480839067,2.7793013671317093,0.01,345.0,53283.0,
PatchNAS,tt100k_signs/vgg16,303,held,true_class,328,102.0,0.13177595955471913,0.15887653366916443,0.027100574114445303,1.1333231429055402e-05,0.03655335308471578,0.7410877141556163,0.49,1.3653436309433524,1.7209033694502553,0.3555597385069029,0.030351141031453664,0.20969840088391478,1.5508396635505484,0.07,971.0,52657.0,
PatchNAS,lisa_signs/resnet50,101,seen,failure_type,27,17.0,0.11705062127771787,0.43684028562196187,0.319789664344244,0.004147360964709507,0.060870054542698726,5.185510440982672,0.0,0.5087364579700578,1.0250052433213415,0.5162687853512836,0.0023184850539617265,0.07324450155937905,7.016913069899825,0.0,18.0,333.0,
PatchNAS,lisa_signs/resnet50,101,seen,true_class,27,12.0,0.1603082400019056,0.444752271324159,0.2844440313222534,0.0009585223904374101,0.0459366940417674,6.171221391506513,0.0,0.5866329090548987,1.0370249688405633,0.45039205978566454,-0.0024192085473848856,0.05557915949178147,8.14714134696225,0.0,30.0,321.0,
PatchNAS,lisa_signs/resnet50,101,held,failure_type,34,20.0,0.051883543225470716,0.3695003185923044,0.3176167753668337,-0.015009370807319457,0.11289725941591477,2.946272990966135,0.0,0.5143070644491767,1.2568831060969086,0.7425760416477318,0.008551539629204644,0.2551705396088754,2.8766036359086007,0.0,43.0,518.0,
PatchNAS,lisa_signs/resnet50,101,held,true_class,34,13.0,0.17148821990214694,0.3679141594674786,0.19642593956533164,-0.00319031863538462,0.0741618522027584,2.6916298915010115,0.0,0.7518847088233628,1.2586857795483766,0.5068010707250138,0.004590968892860284,0.16770624365625464,2.9945820196088384,0.0,65.0,496.0,
PatchNAS,lisa_signs/resnet50,202,seen,failure_type,27,19.0,0.06887065714219345,0.4431643086967297,0.3742936515545362,0.0018404202990115047,0.07186060500025376,5.182996041419724,0.0,0.54019779028075,1.012491495043362,0.4722937047626121,0.0026321710705996463,0.08625607394406058,5.444967666754179,0.0,14.0,337.0,
PatchNAS,lisa_signs/resnet50,202,seen,true_class,27,12.0,0.16120245945497227,0.44871318940004395,0.28751072994507165,0.005380326266348389,0.04512974935937804,6.251539343278993,0.0,0.6030475051557969,1.0236080222841983,0.4205605171284015,0.0028170580997784506,0.05591100973162449,7.471577798833181,0.0,25.0,326.0,
PatchNAS,lisa_signs/resnet50,202,held,failure_type,34,16.0,0.10288685654296491,0.3761828309770856,0.2732959744341207,0.002905993006136967,0.05089825647457946,5.312362350913031,0.0,0.5683564613586387,1.035184221857119,0.4668277604984803,-0.0006344476694028972,0.06337726207104268,7.375866247369696,0.0,41.0,520.0,
PatchNAS,lisa_signs/resnet50,202,held,true_class,34,11.0,0.23651385926788643,0.37355295758842066,0.13703909832053424,-0.0008910697967008806,0.041382454976012895,3.3330590994142932,0.0,0.7319016006373172,1.0400681564003196,0.30816655576300234,-0.0002242746782572108,0.050731552542159185,6.0788762610586415,0.0,71.0,490.0,
PatchNAS,lisa_signs/resnet50,303,seen,failure_type,27,15.0,0.07627708919559763,0.388134423664594,0.3118573344689964,0.007429924633286617,0.05515523770752975,5.519465104011873,0.0,0.5208714331159227,1.0461035936724812,0.5252321605565585,0.0035829578904506233,0.07033366632982208,7.416778192856802,0.0,22.0,329.0,
PatchNAS,lisa_signs/resnet50,303,seen,true_class,27,8.0,0.19160527634028335,0.3986748408486671,0.20706956450838376,0.004066422671031979,0.04204448152180019,4.828294570055901,0.0,0.6577367208334153,1.0736089369476414,0.4158722161142261,-0.0058537455985724325,0.05418962821761593,7.782411054961283,0.0,51.0,300.0,
PatchNAS,lisa_signs/resnet50,303,held,failure_type,34,22.0,0.0658943680181684,0.3439697424139634,0.278075374395795,0.001858210212581065,0.06335749798156937,4.359660229310279,0.0,0.5282210791142662,1.0333951233635819,0.5051740442493157,-0.011541452589954551,0.08794130232199261,5.875686204207745,0.0,28.0,533.0,
PatchNAS,lisa_signs/resnet50,303,held,true_class,34,17.0,0.07302871071885118,0.34824208533311785,0.27521337461426665,0.0015047598236486376,0.04842665096946775,5.652024439136521,0.0,0.544327749027118,1.0409344737671475,0.49660672474002954,-0.010563979514597041,0.06793125786018894,7.4659401315809815,0.0,37.0,524.0,
PatchNAS,lisa_signs/convnext_tiny,101,seen,failure_type,10,,,,,,,,,,,,,,,,,,too few vectors or one group only
PatchNAS,lisa_signs/convnext_tiny,101,seen,true_class,10,,,,,,,,,,,,,,,,,,too few vectors or one group only
PatchNAS,lisa_signs/convnext_tiny,101,held,failure_type,14,11.0,0.03847032649261006,0.3485360011659297,0.31006567467331964,-0.00027012296384298917,0.09269976007322485,3.3477518969701348,0.0,0.4020163536030075,1.0119041160902464,0.609887762487239,-0.004503318636057573,0.11231942545206978,5.470034044823407,0.0,6.0,85.0,
PatchNAS,lisa_signs/convnext_tiny,101,held,true_class,14,6.0,0.16495026482749828,0.38327244069157684,0.21832217586407857,-0.0015440975876458833,0.05673744799813542,3.875152676149178,0.0,0.7174156352467086,1.0576968879208044,0.3402812526740958,-0.0028209381338117918,0.070970458022838,4.834436755257579,0.0,23.0,68.0,
PatchNAS,lisa_signs/convnext_tiny,202,seen,failure_type,10,,,,,,,,,,,,,,,,,,too few vectors or one group only
PatchNAS,lisa_signs/convnext_tiny,202,seen,true_class,10,8.0,0.1313820866538876,0.33058773746658093,0.19920565081269334,0.0008920782674124817,0.06833143131884954,2.9022306238106403,0.02,0.6829606986134275,1.0302945929930556,0.34733389437962814,0.014233086041488407,0.13003429677572156,2.5616380954487585,0.01,3.0,42.0,
PatchNAS,lisa_signs/convnext_tiny,202,held,failure_type,14,11.0,0.0509272789665339,0.377843546910556,0.32691626794402207,0.004720239356761286,0.05806411015785079,5.548970400231786,0.0,0.3450863907799505,1.0127890552550545,0.667702664475104,0.006293883202127465,0.10323737022601875,6.40667986620097,0.0,4.0,87.0,
PatchNAS,lisa_signs/convnext_tiny,202,held,true_class,14,8.0,0.22772794783710423,0.3840931939625223,0.15636524612541805,0.0029578061891636026,0.03950275638051475,3.8834616616282807,0.0,0.7125136994601337,1.0245927718580754,0.31207907239794175,0.002665180033403064,0.0757823334119373,4.082929073700396,0.0,12.0,79.0,
PatchNAS,lisa_signs/convnext_tiny,303,seen,failure_type,10,,,,,,,,,,,,,,,,,,too few vectors or one group only
PatchNAS,lisa_signs/convnext_tiny,303,seen,true_class,10,6.0,0.1770547471187205,0.2939296676314968,0.11687492051277631,0.0024001938505230557,0.0319176637235714,3.5865634668657274,0.0,0.7784768061310767,1.0234004747555716,0.24492366862449488,0.006011901725638805,0.06928045012479617,3.4484730752333648,0.0,7.0,38.0,
PatchNAS,lisa_signs/convnext_tiny,303,held,failure_type,14,,,,,,,,,,,,,,,,,,too few vectors or one group only
PatchNAS,lisa_signs/convnext_tiny,303,held,true_class,14,9.0,0.1721576259404557,0.39878121302981845,0.22662358708936275,-0.005927598570023915,0.05946723533769857,3.910576712283326,0.0,0.630148720135657,1.0200634708147105,0.38991475067905346,-0.006443328125389369,0.07788874628819764,5.088772097226753,0.0,8.0,83.0,
PatchNAS,lisa_signs/densenet121,101,seen,failure_type,13,,,,,,,,,,,,,,,,,,too few vectors or one group only
